,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,"	L17",L18,L19,L20,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
N17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1375.718,,813.260,839.145,,,,,,919.586,,,,199.996,,,,,,,,,,,,
N18,,,628.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1365.344,,841.297,857.677,,,,,,946.966,,,,199.996,,,,,,,,,,,,
N19,,,,,,,,,,2961.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1414.473,,790.451,810.838,,,,,,901.947,,,,200.096,,,,,,,,,,,,
N20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1383.742,,,,,,,,,933.709,,,,199.996,,,,,,,,,,,,
N21,,,,,,,,,,2954.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1457.958,,761.244,,,,,,,866.877,,,,,,,,,,,,,,,,
N22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1420.845,,779.825,797.291,,,,,,882.308,,,,200.096,,,,,,,,,,,,
N23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1420.845,,764.760,797.291,,,,36.038,,882.308,,,,200.096,,,,,,,,,,,,
N24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1431.693,,768.439,,,,,,,866.877,,,,193.610,,,,,,,,,,,,
N25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1393.898,,823.735,839.145,,,,,,929.453,,,,199.996,,,,,,,,,,,,
N26,,,,,,,,,,2860.693,,,,,,,,,,,,,,,,,,,,,,,,,,-449.558,,,,-1375.718,,813.260,834.192,,,,,,697.798,,,,199.996,,,,,,,,,,,,
N27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1420.845,,779.825,810.838,,,,,,891.930,,,,200.096,,,,,,,,,,,,
N28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1326.797,,,,,,,,,997.418,,,,199.996,,,,,,,,,,,,
N29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-254.313,,,,,,,,-1420.845,,779.825,797.291,,,,,,769.592,,,,200.096,,,,,,,,,,,,
N30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-778.890,,-1375.718,,,,,,,,,929.453,,,,199.996,,,,,,,,,,,,
N31,,,,,,,,,,,,,,,,,,,,,,,,,205.565,,,,,,,,,,,,,,,-1336.908,,,,,,,,,962.265,,,,199.996,,,,,,,,,,,,
N32,,,628.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1365.344,,849.491,879.066,,,,,,955.345,,,,199.996,,,,,,,,,,,,
N33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1320.441,,,,,,225.606,,,1012.831,,,,199.996,,,,,,,,,,,,
N34,,,,,,,,,,2803.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.413,,,,199.996,,,,,,,,,,,,
N35,,,,,,,,,,,,,,,,,,,,,,,190.014,,,,,,,,,,,,,,,,,-1431.693,,,,,,,,,866.877,,,,,,,,,,,,,,,,
N36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1338.865,,,,,,,,,,,,,199.996,,,,,,,,,,,,
N37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1420.845,,785.245,810.838,,,,,,901.947,,,,200.096,,,,,,,,,,,,
N38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.708,,,-1326.797,,,,,,,,,,,,,199.996,,,,,,,,,,,,
N39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1375.718,,823.735,839.145,,,,,,919.586,,,,199.996,,,,,,,,,,,,
N40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1375.718,,,,,,,,,938.466,,,,199.996,,,,,,,,,,,,
N41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1386.386,,,,,,,,,938.466,,,,199.996,,,,,,,,,,,,
N42,,,,,,,,,,2961.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1401.714,,788.128,810.838,,,,,,901.947,,,,200.096,,,,,,,,,,,,
N43,,,641.411,,,,,,,,,,,,,,,,,,545.435,,,,,,,,,,1046.663,,,,,,,,,,,849.491,879.066,,,,,,962.265,,,,199.996,,,,,,,,,,,,
N44,,,,,,,,,,2961.837,,,,,,,7.921,,,,,,,,,,,,,,,,,,,,,,,-1401.714,,788.128,810.838,,,,,,730.001,,,,200.096,,,,,,,,,,,,
N45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1375.718,,823.735,839.145,,,,,,927.698,,,,199.996,,,,,,,,,,,,
N46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1375.718,,823.735,839.145,,,,,,929.453,,,,199.996,,,,,,,,,,,,
N47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1426.777,,779.825,797.291,,,,,,887.932,,,,200.096,,,,,,,,,,,,
N48,,,,,,,,,,2954.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1431.693,,761.244,,,,,,,866.877,,,,200.762,,,,,,,,,,,,
N49,,,,,,571.515,,,,2954.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1431.693,,761.244,779.667,,,,,,866.877,,,,200.762,,,,,,,,,,,,
N50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202.148,,,,,,,,,-1401.714,,806.073,,,,,,,901.947,,,,200.096,,,,,,,,,157.024,,,
N51,,,,,,,,,,2970.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1435.772,,761.244,,,,,,,866.877,,,,206.257,,,,,,,,,,,,
N52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1390.334,,818.835,599.382,,,,,,919.586,,,,199.996,,,,,,,,,,,,
N53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.587,,,,,-1420.845,,779.825,797.291,,,,,,769.592,,,,200.096,,,,,,,,,,,,
N54,,,,460.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1355.159,,,,,,,,,966.631,,,,199.996,,,,,,,,,,,,
N55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1375.718,,,,,,,,,940.813,,,,199.996,,,,,,,,,,,,
N56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1383.742,,,,,,,,,938.466,,,,199.996,,,,,,,,,,,,
N57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1401.714,,,,,,,,,907.408,,,,199.452,,,,,,,,,,,,
N58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1401.714,,,,,,,,,911.269,,,,199.452,,,,,,,,,,,,
N59,,,,,,,,,,2954.309,,,,,,,,,,,,,,,,,,,,9.848,,,,,,,258.739,,,-1457.958,,761.244,,,,,,,866.877,,,,,,,,,,,,,,,,
N60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1256.420,,547.974,,,,,,,1070.612,,,,199.996,,,,,,,,,,,,
N61,,,,,,,,,,2954.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1449.497,,753.091,779.667,,,,,,859.149,,,,200.762,,,,,,,,,,,,
N62,,,,,,,,,,2970.581,,,,,,,,,,,,,,,,,,,,,,,,,,-556.461,,,,-1431.693,,761.244,,,,,,,866.877,,,,,,,,-6.915,,,,,,,,
N63,,,,,,,,9.251,,2970.581,,,,,,,,,,,,,,,,,,,,,,,,,,-556.461,,,,-1431.693,,761.244,,,,,,,866.877,,,,,,,,,,,,,,,,
N64,282.201,,,,,,,,82.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1375.718,,823.735,839.145,,,,,,929.453,,,,199.996,,,,,,,,,,,,
N65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1407.869,,,,,,,209.172,,904.365,,,,,,,,,,,,,,,,
N66,,,628.253,289.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1365.344,,849.491,857.677,,,,,,946.966,,,,199.996,,,,,,,,,,,,
N67,,,,,,,,,,2970.581,,,,,,,,,,,,,,,,,,,,,,,,,,-556.461,,,,-1431.693,,761.244,,,,,,,866.877,740.969,,,,,,,,,,,,,,,
N68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1359.399,,,,,,,,,962.336,,,,199.996,,,,,,,,,,,,
N69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1386.386,,,,,,,,,938.466,,,,199.996,,,,,,,,,,,,54.437
N70,,,,,,,,,,,,,,,,,,,,,536.792,,,,,,,,,,,,,,,,,,,,,849.491,879.066,,,,,,962.265,,,,199.996,,,,,,,,,,,,
N71,,,,,,,,,,2961.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1401.714,,788.128,805.277,,,,,,898.219,,,,200.096,,,,,,,,,,,,
N72,,,,,,,,,,2961.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1401.714,,788.128,810.838,,,,,,898.219,,,,200.096,,,,,,,,,,,,
N73,,,,,,,,,,,,,,,,,,,362.028,,,,,,,,,,,,,,,,,,,,,-1393.898,,823.735,839.145,,,,,,929.453,,,,199.996,,,,,,,,,,,,
N74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1346.730,,,,,,,,,974.353,,,,199.996,,,,,,,,,,,,
N75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1346.730,,,,,,,,,976.055,,,,199.996,,,,,,,,,,,,
N76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1375.718,590.603,813.260,834.192,,,,,,919.586,,,,199.996,,,,,,,,,,,,
N77,,,,,,,,,,2936.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1375.718,590.603,813.260,834.192,,,,,,919.586,,,,199.996,,,,,,,,,,,,
N78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-811.971,,-1338.865,,,,,,,,,986.139,,,,199.996,,,,,,,,,,,,
N79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1307.149,,,,,,,,,1021.844,,,,199.996,,,,,,,,,,,,
N80,,,640.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1312.371,,,,,,,,,1003.790,,,,199.996,,,,,,,,,,,,
N81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.614,,,,,,,849.491,879.066,,,,,,962.265,,,,199.996,,,,,,,,,,,,
N82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.449,,,,199.996,,,,,,,,,,,,
